FirstName,FullName,Genre,InfluenceToBoy,InfluenceToGirl
Gladys,Gladys Cooper,Adventure,-1,-0.0433903798914
Gladys,Gladys Cooper,Comedy,-1,-0.0433903798914
Gladys,Gladys Cooper,Musical,-1,-0.0433903798914
Gladys,Gladys Cooper,Romance,-1,-0.0433903798914
Reginald,Reginald Owen,Adventure,-0.0106982381773,-1
Reginald,Reginald Owen,Comedy,-0.0106982381773,-1
Reginald,Reginald Owen,Musical,-0.0106982381773,-1
Reginald,Reginald Owen,Romance,-0.0106982381773,-1
Ellen,Ellen Ross,Adventure,-1,-0.153324099719
Ellen,Ellen Ross,Comedy,-1,-0.153324099719
Ellen,Ellen Ross,Musical,-1,-0.153324099719
Ellen,Ellen Ross,Romance,-1,-0.153324099719
Montgomery,Montgomery Clift,Action,0.0,-1
Montgomery,Montgomery Clift,Adventure,0.0,-1
Montgomery,Montgomery Clift,Romance,0.0,-1
Montgomery,Montgomery Clift,Western,0.0,-1
Walter,Walter Brennan,Action,-0.211119301067,-1
Walter,Walter Brennan,Adventure,-0.211119301067,-1
Walter,Walter Brennan,Romance,-0.211119301067,-1
Walter,Walter Brennan,Western,-0.211119301067,-1
Harry,Harry Carey Jr.,Action,-0.0273937365044,-1
Harry,Harry Carey Jr.,Adventure,-0.0273937365044,-1
Harry,Harry Carey Jr.,Romance,-0.0273937365044,-1
Harry,Harry Carey Jr.,Western,-0.0273937365044,-1
Harry,Harry Carey Jr.,Western,-0.0273937365044,-1
Ben,Ben Johnson,Western,0.0134170946462,-1
Victor,Victor McLaglen,Western,0.040689279584,-1
James,James Brown,Action,0.00341302434365,-0.0130539700789
James,James Brown,Drama,0.00341302434365,-0.0130539700789
James,James Brown,Romance,0.00341302434365,-0.0130539700789
James,James Brown,War,0.00341302434365,-0.0130539700789
Richard,Richard Jaeckel,Action,0.275809290946,-0.0721014492754
Richard,Richard Jaeckel,Drama,0.275809290946,-0.0721014492754
Richard,Richard Jaeckel,Romance,0.275809290946,-0.0721014492754
Richard,Richard Jaeckel,War,0.275809290946,-0.0721014492754
Forrest,Forrest Tucker,Action,0.182139229683,-1
Forrest,Forrest Tucker,Drama,0.182139229683,-1
Forrest,Forrest Tucker,Romance,0.182139229683,-1
Forrest,Forrest Tucker,War,0.182139229683,-1
Humphrey,Humphrey Bogart,Drama,-1,-1
Humphrey,Humphrey Bogart,Romance,-1,-1
Humphrey,Humphrey Bogart,War,-1,-1
Claude,Claude Rains,Drama,0.050433865336,-1
Claude,Claude Rains,Romance,0.050433865336,-1
Claude,Claude Rains,War,0.050433865336,-1
Conrad,Conrad Veidt,Drama,-0.648194740957,-1
Conrad,Conrad Veidt,Romance,-0.648194740957,-1
Conrad,Conrad Veidt,War,-0.648194740957,-1
