Year,FirstName,FullName,InfluenceToBoy,InfluenceToGirl
1948,Gladys,Gladys Cooper,-1,-0.0433903798914
1948,Reginald,Reginald Owen,-0.0106982381773,-1
1948,Ellen,Ellen Ross,-1,-0.153324099719
1948,Montgomery,Montgomery Clift,0.0,-1
1948,Walter,Walter Brennan,-0.211119301067,-1
1948,Harry,Harry Carey Jr.,-0.169005928812,-1
1948,Jane,Jane Wyman,-1,-0.148479300536
1948,Laurence,Laurence Olivier,-0.219195738544,-1
1949,Harry,Harry Carey Jr.,-0.0273937365044,-1
1949,Ben,Ben Johnson,0.0134170946462,-1
1949,Victor,Victor McLaglen,0.00819237784247,-1
1949,James,James Brown,0.00341302434365,-0.0130539700789
1949,Richard,Richard Jaeckel,0.275809290946,-0.0721014492754
1949,Forrest,Forrest Tucker,0.182139229683,-1
1949,Olivia,Olivia de Havilland,-1,-0.355259819269
1949,Broderick,Broderick Crawford,0.0,-1
1942,Humphrey,Humphrey Bogart,-1,-1
1942,Claude,Claude Rains,-0.251100274313,-1
1942,Conrad,Conrad Veidt,-0.648194740957,-1
1942,Sam,Sam Edwards,-0.247953990294,-1
1942,Donnie,Donnie Dunagan,-0.103385493573,-0.232462518148
1942,Ann,Ann Gillis,-1,-0.247197874959
1942,Greer,Greer Garson,-1,-1
1942,James,James Cagney,-0.30776328376,-0.178456032486
1943,Spencer,Spencer Tracy,-0.42335163309,0.0
1943,Esther,Esther Williams,-1,0.126637199628
1943,Irene,Irene Dunne,-1,-0.0150158077977
1943,Jennifer,Jennifer Jones,0.0,1.19338655048
1943,Paul,Paul Lukas,0.0145208879667,0.0
1940,Mel,Mel Blanc,0.0,-1
1940,Dickie,Dickie Jones,-0.0709390681453,-1
1940,Cliff,Cliff Edwards,0.0,-1
1940,Leopold,Leopold Stokowski,-1,-1
1940,Deems,Deems Taylor,-1,-1
1940,,,-1,-1
1940,Ginger,Ginger Rogers,-1,0.19596561064
1940,James,James Stewart,0.173374713428,0.0179743090741
1941,Roddy,Roddy McDowall,-1,-1
1941,Walter,Walter Pidgeon,0.0437254436157,-1
1941,Barry,Barry Fitzgerald,-0.76819034078,-1
1941,Joan,Joan Fontaine,0.0,-0.0450537096286
1941,Gary,Gary Cooper,-0.201761423789,-1
1946,Joseph,Joseph Cotten,0.0121405089083,0.0
1946,Lillian,Lillian Gish,-1,-0.00868612459994
1946,Jennifer,Jennifer Jones,0.0,-1.75172378324
1946,Donna,Donna Reed,-1,-0.20040242602
1946,Lionel,Lionel Barrymore,-0.130645013851,-1
1946,Thomas,Thomas Mitchell,-0.0304798133735,-0.172568807339
1946,Olivia,Olivia de Havilland,-1,0.0973237705042
1946,Fredric,Fredric March,-0.0717395787693,-1
1947,Judith,Judith Anderson,-1,-0.318320466449
1947,Paul,Paul Fix,-0.387119056855,0.0
1947,Laraine,Laraine Day,-1,-1.57968748933
1947,Dean,Dean Stockwell,-0.0975559461227,-1
1947,Celeste,Celeste Holm,-1,-0.20459816546
1947,John,John Garfield,-0.408239313554,-0.241648409399
1947,Loretta,Loretta Young,-1,-0.186495539304
1947,Ronald,Ronald Colman,-0.515777005422,-1
1944,Esther,Esther Williams,-1,0.248048315246
1944,Basil,Basil Rathbone,0.402695595003,-1
1944,Red,Red Skelton,-1,-1
1944,Ingrid,Ingrid Bergman,-1,-0.063830274426
1944,Bing,Bing Crosby,-1,-1
1945,Dana,Dana Andrews,1.00081285195,-0.661770386146
1945,Jeanne,Jeanne Crain,-1,0.15933281727
1945,Frank,Frank McHugh,0.310551597333,0.0
1945,Jessica,Jessica Tandy,0.0,2.33644056716
1945,Greer,Greer Garson,-1,-1
1945,Lionel,Lionel Barrymore,0.009883070934,-1
1945,Joan,Joan Crawford,0.0,0.222379208799
1945,Ray,Ray Milland,0.268958552448,0.0
2015,Christoph,Christoph Waltz,-1,-1
2015,Rory,Rory Kinnear,0.568511230953,0.400179038587
2015,Stephanie,Stephanie Sigman,0.0,1.0742516351
2015,Chris,Chris Hemsworth,0.991911952804,0.0
2015,Robert,Robert Downey Jr.,1.03646701435,0.0
2015,Scarlett,Scarlett Johansson,-1,0.551778584396
2015,Brie,Brie Larson,-1,0.0
2015,Leonardo,Leonardo DiCaprio,0.706202230544,-1
2014,Aidan,Aidan Turner,-0.50154664771,0.0
2014,Adam,Adam Brown,-0.999995121557,0.0
