Bob,female_count,male_count
1927,63,1971
1928,66,2092
1929,61,2104
1930,33,2240
1931,31,2318
1932,30,2427
1933,61,2219
1934,50,2478
1935,81,2388
1936,59,2408
1937,29,2363
1938,81,2204
1939,61,2242
1940,102,2082
1941,136,2074
1942,199,2203
1943,337,2274
1944,686,2133
1945,986,2175
1946,1733,2492
1947,2013,2514
1948,1881,1960
1949,2621,1465
1950,2802,978
1951,2973,808
1952,3532,754
1953,3376,695
1954,3960,695
1955,4127,797
1956,4712,1019
1957,5481,1814
1958,5880,2521
1959,6232,2824
1960,7242,2720
1961,9266,2501
1962,10980,2166
1963,11761,1846
1964,12959,1433
1965,15211,1000
1966,18216,684
1967,18238,532
1968,26850,478
1969,33705,426
1970,46160,405
1971,56786,325
1972,63606,220
1973,62454,208
1974,63111,170
1975,58185,168
1976,59479,139
1977,58960,120
1978,56311,110
1979,56715,118
1980,58385,107
1981,57041,140
1982,57109,201
1983,54336,226
1984,50559,222
1985,42649,414
1986,36181,463
1987,32693,592
1988,27885,693
1989,23991,884
1990,22221,928
1991,20669,982
1992,17817,1019
1993,15748,1029
1994,13997,1331
1995,12685,1360
1996,11728,1478
1997,11837,1824
1998,10687,1903
1999,10610,1925
2000,9385,1981
2001,8920,1798
2002,8536,1866
2003,7564,1697
2004,6541,1728
2005,5832,1717
2006,5265,1557
2007,4648,1653
2008,3791,1735
2009,2986,1464
2010,2616,1490
2011,2276,1827
2012,1921,2122
2013,1688,2502
2014,1514,3184
