Christopher,female_count,male_count
1927,63,286
1928,66,266
1929,61,274
1930,33,267
1931,31,237
1932,30,244
1933,61,208
1934,50,272
1935,81,270
1936,59,277
1937,29,294
1938,81,309
1939,61,359
1940,102,499
1941,136,618
1942,199,814
1943,337,890
1944,686,1003
1945,986,1138
1946,1733,1601
1947,2013,2273
1948,1881,3037
1949,2621,3998
1950,2802,4831
1951,2973,5708
1952,3532,6285
1953,3376,6054
1954,3960,6072
1955,4127,7897
1956,4712,8377
1957,5481,8975
1958,5880,11068
1959,6232,12908
1960,7242,15365
1961,9266,17229
1962,10980,17528
1963,11761,18365
1964,12959,19643
1965,15211,24650
1966,105,27880
1967,130,29437
1968,132,31478
1969,173,35709
1970,218,41793
1971,269,48251
1972,250,52195
1973,275,48322
1974,289,48621
1975,302,46587
1976,276,45235
1977,278,46753
1978,298,47243
1979,314,50676
1980,313,49086
1981,291,50229
1982,430,59225
1983,419,59325
1984,392,60016
1985,415,59583
1986,408,56675
1987,379,54471
1988,354,52979
1989,242,53175
1990,188,52323
1991,158,47099
1992,131,42461
1993,111,38228
1994,103,34799
1995,104,32668
1996,11728,30900
1997,11837,29099
1998,10687,26998
1999,10610,25601
2000,9385,24928
2001,8920,23117
2002,8536,21673
2003,7564,20740
2004,6541,19617
2005,5832,19157
2006,5265,19663
2007,4648,19998
2008,3791,17928
2009,2986,16333
2010,2616,14243
2011,2276,12975
2012,1921,11864
2013,1688,10815
2014,1514,10278
