Jack,female_count,male_count
1927,440,12796
1928,425,12488
1929,410,12162
1930,402,12434
1931,325,11479
1932,298,10711
1933,226,9833
1934,257,9987
1935,208,9430
1936,203,8858
1937,218,8191
1938,216,8137
1939,228,7306
1940,208,7045
1941,221,6950
1942,240,7359
1943,229,7400
1944,180,7254
1945,198,6855
1946,208,7800
1947,203,8509
1948,192,7620
1949,199,7131
1950,180,6845
1951,204,6990
1952,196,6933
1953,162,6541
1954,185,6464
1955,186,6202
1956,222,6055
1957,225,6022
1958,207,5303
1959,231,5024
1960,242,4918
1961,277,4639
1962,284,4169
1963,260,3817
1964,264,3810
1965,252,3204
1966,284,2963
1967,289,2788
1968,306,2699
1969,288,2615
1970,290,2576
1971,272,2368
1972,224,1900
1973,229,1852
1974,253,1653
1975,232,1744
1976,210,1668
1977,218,1675
1978,221,1579
1979,245,1586
1980,251,1627
1981,196,1610
1982,234,1621
1983,266,1522
1984,237,1480
1985,233,1522
1986,220,1512
1987,197,1647
1988,167,1647
1989,134,1712
1990,120,1831
1991,267,1945
1992,117,2067
1993,222,2421
1994,191,2776
1995,167,3445
1996,157,4244
1997,142,4983
1998,128,6374
1999,123,7383
2000,114,8121
2001,112,8148
2002,8536,8996
2003,7564,9316
2004,148,9578
2005,5832,10902
2006,5265,10836
2007,4648,10666
2008,3791,9891
2009,2986,9017
2010,2616,8514
2011,2276,8175
2012,1921,7924
2013,1688,8554
2014,1514,8685
