James,female_count,male_count
1927,389,53663
1928,427,52750
1929,397,52116
1930,418,53933
1931,346,51199
1932,320,51922
1933,299,51099
1934,262,54236
1935,238,54986
1936,229,54672
1937,252,56546
1938,274,59092
1939,268,59627
1940,259,62472
1941,255,66719
1942,282,77173
1943,271,80248
1944,237,76944
1945,246,74450
1946,250,87425
1947,257,94755
1948,251,88596
1949,257,86856
1950,252,86221
1951,259,87175
1952,261,87083
1953,237,85946
1954,226,86277
1955,246,84130
1956,249,84860
1957,281,84242
1958,252,78731
1959,296,78597
1960,288,76872
1961,286,75896
1962,262,72563
1963,311,71332
1964,317,73050
1965,303,67707
1966,297,65193
1967,312,61704
1968,312,60730
1969,329,59940
1970,354,61775
1971,302,54608
1972,299,47084
1973,317,42896
1974,251,41365
1975,253,39595
1976,253,38311
1977,273,40051
1978,269,39908
1979,261,39371
1980,271,39312
1981,273,38301
1982,316,38867
1983,282,36336
1984,238,35843
1985,287,35840
1986,273,34026
1987,246,32628
1988,244,32490
1989,176,32695
1990,115,32344
1991,267,30501
1992,117,28502
1993,222,26249
1994,191,24764
1995,167,22727
1996,157,21152
1997,142,20399
1998,128,19682
1999,123,18550
2000,114,17974
2001,112,17066
2002,8536,16951
2003,7564,16888
2004,148,16451
2005,5832,16120
2006,5265,16226
2007,4648,15941
2008,3791,15154
2009,2986,14175
2010,2616,13852
2011,2276,13227
2012,1921,13385
2013,1688,13502
2014,1514,14301
