Joe,female_count,male_count
1927,230,6534
1928,212,6678
1929,218,6598
1930,250,6874
1931,227,6444
1932,245,6698
1933,248,6411
1934,265,7084
1935,224,7554
1936,243,8023
1937,227,7740
1938,239,7438
1939,249,7189
1940,217,7222
1941,227,7145
1942,237,7385
1943,229,7308
1944,202,7056
1945,193,6626
1946,219,7535
1947,227,7899
1948,203,7292
1949,217,6528
1950,204,6035
1951,197,5824
1952,174,5896
1953,192,5791
1954,213,5859
1955,182,5854
1956,198,6122
1957,172,6765
1958,159,7063
1959,154,7386
1960,129,7314
1961,108,7056
1962,102,6784
1963,137,6382
1964,119,5811
1965,120,4839
1966,3215,4334
1967,122,3717
1968,134,3529
1969,154,3621
1970,138,3572
1971,148,3150
1972,128,2822
1973,134,2521
1974,124,2346
1975,132,2238
1976,141,2170
1977,176,2123
1978,181,2034
1979,209,1964
1980,217,1988
1981,185,1861
1982,195,1870
1983,211,1613
1984,211,1591
1985,227,1592
1986,208,1537
1987,217,1488
1988,182,1472
1989,139,1492
1990,137,1459
1991,131,1464
1992,131,1392
1993,143,1252
1994,139,1204
1995,123,1073
1996,114,1054
1997,115,1012
1998,161,1004
1999,115,967
2000,647,917
2001,670,958
2002,696,917
2003,704,898
2004,103,819
2005,650,794
2006,664,806
2007,774,731
2008,826,721
2009,831,604
2010,833,592
2011,867,532
2012,145,491
2013,179,471
2014,203,488
