Joseph,female_count,male_count
1927,166,23499
1928,182,22318
1929,157,21154
1930,143,20977
1931,112,19322
1932,104,18556
1933,4378,17155
1934,4357,17101
1935,4644,17185
1936,4720,17447
1937,4701,17311
1938,4787,17738
1939,4770,17715
1940,5090,18201
1941,5088,19799
1942,5708,22423
1943,6028,22817
1944,6565,21169
1945,7640,20820
1946,8969,24279
1947,9941,27513
1948,8780,26805
1949,8720,26417
1950,8966,27033
1951,8929,28113
1952,9323,28528
1953,8902,29217
1954,8353,31206
1955,8332,31587
1956,8248,32702
1957,7784,31814
1958,7191,30086
1959,6872,29527
1960,120,29757
1961,112,29447
1962,105,30093
1963,137,30100
1964,119,30568
1965,120,28662
1966,3215,26992
1967,122,25941
1968,134,25404
1969,154,26200
1970,138,26734
1971,148,24512
1972,128,22465
1973,134,21324
1974,124,21844
1975,132,22144
1976,141,24074
1977,176,26487
1978,181,26679
1979,209,28665
1980,217,30189
1981,185,30765
1982,195,31038
1983,211,30447
1984,211,30506
1985,227,30209
1986,208,28820
1987,217,28503
1988,182,28997
1989,139,29871
1990,137,30122
1991,131,29835
1992,131,27886
1993,143,27004
1994,139,25723
1995,123,25337
1996,114,24744
1997,115,23581
1998,161,23170
1999,115,23203
2000,647,22818
2001,670,21994
2002,696,21887
2003,704,21349
2004,103,20113
2005,650,19195
2006,664,18427
2007,774,17314
2008,826,16543
2009,831,14895
2010,833,13798
2011,867,12918
2012,145,12503
2013,179,12167
2014,203,11995
