Kevin,female_count,male_count
1927,116,17016
1928,142,16577
1929,121,16267
1930,128,17016
1931,17,112
1932,98,121
1933,9,133
1934,17,151
1935,10,176
1936,96,154
1937,47,178
1938,10,246
1939,38,273
1940,64,298
1941,36,420
1942,103,530
1943,21,640
1944,95,594
1945,55,691
1946,109,1036
1947,103,1553
1948,73,2233
1949,65,3299
1950,57,4761
1951,40,6338
1952,41,7928
1953,101,10004
1954,86,15321
1955,4,17144
1956,103,21767
1957,110,24283
1958,117,24647
1959,126,26759
1960,120,28391
1961,107,28905
1962,113,28356
1963,121,30625
1964,114,29367
1965,117,28192
1966,123,25600
1967,117,24622
1968,125,23880
1969,128,23581
1970,129,26989
1971,134,24876
1972,118,22368
1973,133,20799
1974,127,19475
1975,106,18089
1976,113,18487
1977,149,22482
1978,105,20111
1979,120,18737
1980,117,17976
1981,111,17458
1982,118,17461
1983,144,17372
1984,124,17854
1985,147,18806
1986,146,19930
1987,142,20406
1988,116,20158
1989,43,21199
1990,92,20401
1991,72,20258
1992,76,19634
1993,30,19075
1994,88,17305
1995,2,15852
1996,72,14578
1997,49,13291
1998,15,12507
1999,70,12251
2000,98,12666
2001,57,12591
2002,92,12043
2003,6,11727
2004,66,11212
2005,1,10904
2006,10,10774
2007,99,10529
2008,34,9786
2009,17,8766
2010,57,7318
2011,19,6551
2012,33,6214
2013,92,5918
2014,97,5859
