Lee,female_count,male_count
1927,490,2392
1928,513,2278
1929,476,2211
1930,463,2362
1931,448,2122
1932,455,2283
1933,403,2302
1934,422,2376
1935,474,2425
1936,440,2419
1937,438,2500
1938,449,2574
1939,477,2588
1940,492,2624
1941,520,2742
1942,584,2921
1943,597,2791
1944,599,2932
1945,689,2938
1946,807,3344
1947,857,3677
1948,842,3444
1949,818,3564
1950,818,3606
1951,891,3684
1952,947,3646
1953,1018,3585
1954,1355,3562
1955,1819,3596
1956,1936,3510
1957,1835,3600
1958,1699,3513
1959,1549,3503
1960,1535,3441
1961,1492,3127
1962,1379,3257
1963,1478,3020
1964,1272,3036
1965,1299,2775
1966,1212,2966
1967,1141,2961
1968,1159,2873
1969,1134,2763
1970,970,2796
1971,874,2476
1972,690,2264
1973,658,2110
1974,608,2115
1975,585,1861
1976,532,1878
1977,561,2016
1978,489,1980
1979,621,2080
1980,651,2209
1981,533,2210
1982,485,2203
1983,373,1917
1984,360,2164
1985,310,2005
1986,286,1933
1987,242,1812
1988,268,1782
1989,231,1545
1990,197,1448
1991,162,1299
1992,156,1130
1993,159,988
1994,124,916
1995,103,774
1996,11728,721
1997,11837,614
1998,10687,607
1999,10610,510
2000,9385,501
2001,8920,513
2002,8536,439
2003,7564,403
2004,6541,412
2005,5832,384
2006,5265,390
2007,4648,381
2008,3791,359
2009,2986,372
2010,2616,353
2011,2276,351
2012,1921,352
2013,1688,357
2014,1514,348
