Paul,female_count,male_count
1927,102,13600
1928,123,13160
1929,200,12429
1930,114,12954
1931,151,12250
1932,138,12071
1933,126,11843
1934,129,12193
1935,128,12556
1936,154,12304
1937,118,12868
1938,121,13357
1939,107,13330
1940,108,14101
1941,120,15154
1942,127,16485
1943,119,17253
1944,168,16654
1945,106,16997
1946,120,21050
1947,144,22794
1948,120,21248
1949,115,21588
1950,135,21754
1951,102,22824
1952,105,24290
1953,136,25481
1954,106,26218
1955,126,26672
1956,130,26869
1957,117,26987
1958,118,26252
1959,131,25703
1960,124,25643
1961,130,25628
1962,140,23804
1963,154,26685
1964,136,26879
1965,134,24935
1966,145,23584
1967,166,22843
1968,116,21881
1969,121,20705
1970,160,20211
1971,144,17478
1972,139,14568
1973,138,12911
1974,234,12325
1975,130,12019
1976,128,11793
1977,131,11806
1978,245,11734
1979,123,11644
1980,121,11818
1981,115,11773
1982,132,11303
1983,127,10820
1984,106,10453
1985,116,10308
1986,122,9709
1987,111,9696
1988,111,9425
1989,148,9028
1990,120,8578
1991,267,7676
1992,117,6996
1993,222,6477
1994,191,5795
1995,167,5411
1996,157,4878
1997,142,4747
1998,128,4319
1999,123,4014
2000,114,3788
2001,112,3508
2002,8536,3256
2003,7564,3246
2004,148,3180
2005,5832,3140
2006,5265,3019
2007,4648,2761
2008,3791,2552
2009,2986,2421
2010,2616,2120
2011,2276,2066
2012,1921,1944
2013,1688,2028
2014,1514,1987
