Peter,female_count,male_count
1927,248,3303
1928,230,3300
1929,201,3217
1930,242,3267
1931,171,3118
1932,174,3130
1933,146,3134
1934,160,3290
1935,154,3421
1936,127,3715
1937,144,3809
1938,141,4295
1939,143,4643
1940,102,5050
1941,136,5614
1942,199,6587
1943,337,6876
1944,686,6340
1945,986,6486
1946,1733,7484
1947,2013,8591
1948,1881,8050
1949,2621,8262
1950,2802,8367
1951,2973,9012
1952,3532,9578
1953,3376,9729
1954,3960,10073
1955,4127,11009
1956,4712,11320
1957,5481,11588
1958,5880,10744
1959,6232,11286
1960,7242,10724
1961,9266,10340
1962,10980,9581
1963,11761,9624
1964,12959,9907
1965,15211,9394
1966,18216,8583
1967,18238,8327
1968,26850,8131
1969,33705,7840
1970,46160,8057
1971,56786,7036
1972,63606,6478
1973,62454,5918
1974,63111,5951
1975,58185,5707
1976,59479,5451
1977,58960,5818
1978,56311,5885
1979,56715,6076
1980,58385,5963
1981,57041,5989
1982,57109,5774
1983,54336,5479
1984,50559,5629
1985,42649,5665
1986,36181,5793
1987,32693,5540
1988,27885,5419
1989,23991,5405
1990,22221,5215
1991,20669,4958
1992,17817,4592
1993,15748,4535
1994,13997,4221
1995,12685,4110
1996,11728,4076
1997,11837,3825
1998,10687,3384
1999,10610,3434
2000,9385,3146
2001,8920,2947
2002,8536,2865
2003,7564,2802
2004,6541,2786
2005,5832,2551
2006,5265,2477
2007,4648,2335
2008,3791,2180
2009,2986,2008
2010,2616,1929
2011,2276,1831
2012,1921,1861
2013,1688,1846
2014,1514,1899
