Richard,female_count,male_count
1927,161,26764
1928,201,28790
1929,200,29571
1930,163,32173
1931,151,31811
1932,138,31790
1933,126,31329
1934,129,33152
1935,128,33939
1936,154,33481
1937,118,32972
1938,121,34379
1939,107,35367
1940,108,37414
1941,120,39101
1942,127,43581
1943,119,46331
1944,168,45632
1945,106,46045
1946,120,58859
1947,144,58499
1948,120,50959
1949,115,50942
1950,135,51009
1951,102,54485
1952,105,58349
1953,136,58285
1954,106,57007
1955,126,53523
1956,130,52879
1957,117,52400
1958,118,49958
1959,131,47176
1960,124,43562
1961,130,41119
1962,140,39424
1963,154,40780
1964,136,40106
1965,134,36858
1966,145,34468
1967,166,33592
1968,162,33000
1969,174,31102
1970,160,30467
1971,144,26166
1972,139,22322
1973,138,19953
1974,234,18656
1975,130,17681
1976,128,16766
1977,131,17450
1978,245,16730
1979,123,16723
1980,121,16658
1981,115,16856
1982,132,16706
1983,127,15890
1984,106,15591
1985,116,15327
1986,122,15006
1987,111,14392
1988,111,14136
1989,148,14133
1990,120,13575
1991,267,12550
1992,117,11326
1993,222,10227
1994,191,9513
1995,167,8782
1996,157,8179
1997,142,7241
1998,128,6952
1999,123,6499
2000,114,6351
2001,112,5767
2002,8536,5317
2003,7564,5052
2004,148,4843
2005,5832,4662
2006,5265,4466
2007,4648,4416
2008,3791,4052
2009,2986,3604
2010,2616,3228
2011,2276,3157
2012,1921,3011
2013,1688,2784
2014,1514,2857
