Robert,female_count,male_count
1927,411,61664
1928,435,60680
1929,440,59802
1930,425,62143
1931,343,60497
1932,326,59248
1933,273,54205
1934,266,55826
1935,231,56514
1936,221,58486
1937,223,61821
1938,218,62262
1939,209,59640
1940,206,61192
1941,196,64233
1942,209,71834
1943,250,74853
1944,193,70843
1945,199,69926
1946,215,84130
1947,236,91642
1948,208,85479
1949,202,83841
1950,203,83540
1951,208,86327
1952,195,86572
1953,228,86135
1954,191,86258
1955,235,83676
1956,214,83903
1957,255,81707
1958,235,77285
1959,237,74506
1960,271,72386
1961,289,72908
1962,229,70214
1963,256,70024
1964,278,69994
1965,255,63146
1966,251,59350
1967,255,56385
1968,265,58229
1969,335,58342
1970,328,57213
1971,297,50656
1972,288,43035
1973,249,38721
1974,242,37046
1975,244,35337
1976,236,33815
1977,238,34221
1978,255,33381
1979,252,34025
1980,254,34273
1981,228,34388
1982,233,34411
1983,255,32739
1984,230,31752
1985,238,32078
1986,241,31332
1987,219,30232
1988,182,30306
1989,126,30064
1990,109,28864
1991,267,26827
1992,117,24086
1993,222,22444
1994,191,20555
1995,167,18583
1996,157,17669
1997,142,16301
1998,128,15524
1999,123,14535
2000,114,13733
2001,112,12659
2002,8536,12023
2003,7564,11386
2004,148,10672
2005,5832,10147
2006,5265,9891
2007,4648,9366
2008,3791,8819
2009,2986,7812
2010,2616,7539
2011,2276,6952
2012,1921,6926
2013,1688,6679
2014,1514,6572
