Roy,female_count,male_count
1927,230,6382
1928,212,6226
1929,218,5812
1930,250,5913
1931,227,5484
1932,245,5233
1933,248,4902
1934,265,5105
1935,224,4939
1936,243,4817
1937,227,4887
1938,239,5037
1939,249,5151
1940,217,5563
1941,227,5944
1942,237,6309
1943,229,6927
1944,202,6529
1945,193,6179
1946,219,6919
1947,227,7563
1948,203,7062
1949,217,6621
1950,204,6458
1951,197,6452
1952,174,6530
1953,192,6647
1954,213,6495
1955,182,6317
1956,198,6131
1957,172,6058
1958,159,5527
1959,154,5177
1960,129,5248
1961,108,4960
1962,102,4479
1963,137,4437
1964,119,4146
1965,120,3788
1966,3215,3520
1967,122,3274
1968,134,3181
1969,154,3003
1970,138,3038
1971,148,2960
1972,128,2479
1973,134,2237
1974,124,2187
1975,132,2123
1976,141,1872
1977,176,1912
1978,181,1800
1979,209,1752
1980,217,1778
1981,185,1726
1982,195,1615
1983,211,1452
1984,211,1383
1985,227,1380
1986,208,1283
1987,217,1258
1988,182,1162
1989,139,1257
1990,137,1223
1991,131,1125
1992,131,991
1993,143,895
1994,139,861
1995,123,731
1996,114,718
1997,115,747
1998,161,653
1999,115,637
2000,647,634
2001,670,571
2002,696,564
2003,704,568
2004,103,542
2005,650,529
2006,664,595
2007,774,534
2008,826,551
2009,831,472
2010,833,453
2011,867,443
2012,145,461
2013,179,506
2014,203,517
