Sylvester,female_count,male_count
1927,4699,611
1928,4408,597
1929,4352,570
1930,4574,598
1931,4535,526
1932,4345,559
1933,4378,495
1934,4357,498
1935,4644,530
1936,4720,481
1937,4701,475
1938,4787,503
1939,4770,472
1940,5090,462
1941,5088,536
1942,5708,497
1943,6028,502
1944,6565,535
1945,7640,509
1946,8969,536
1947,9941,596
1948,8780,602
1949,8720,584
1950,8966,642
1951,8929,645
1952,9323,600
1953,8902,637
1954,8353,635
1955,8332,647
1956,8248,617
1957,7784,605
1958,7191,578
1959,6872,559
1960,6584,504
1961,6361,519
1962,6115,465
1963,5766,455
1964,4568,389
1965,3930,387
1966,3215,325
1967,2728,296
1968,2195,258
1969,1880,241
1970,1599,245
1971,1305,292
1972,1161,224
1973,960,241
1974,828,195
1975,783,218
1976,698,189
1977,743,217
1978,699,223
1979,718,249
1980,773,204
1981,763,215
1982,840,218
1983,782,183
1984,725,209
1985,709,194
1986,667,200
1987,667,198
1988,719,203
1989,780,193
1990,771,203
1991,708,135
1992,651,115
1993,687,143
1994,706,132
1995,618,121
1996,638,14578
1997,648,103
1998,638,12507
1999,618,12251
2000,647,12666
2001,670,12591
2002,696,12043
2003,704,11727
2004,657,11212
2005,650,10904
2006,664,10774
2007,774,10529
2008,826,9786
2009,831,8766
2010,833,7318
2011,867,6551
2012,927,6214
2013,898,5918
2014,1018,5859
