Tom,female_count,male_count
1927,320,1269
1928,349,1306
1929,337,1269
1930,289,1335
1931,238,1361
1932,235,1539
1933,195,1423
1934,175,1580
1935,163,1724
1936,154,1695
1937,164,1807
1938,138,1931
1939,153,2028
1940,151,2286
1941,139,2498
1942,170,2876
1943,168,2910
1944,136,2901
1945,142,2893
1946,157,3625
1947,155,3919
1948,157,3431
1949,128,2543
1950,126,1824
1951,108,1518
1952,146,1432
1953,133,1378
1954,130,1387
1955,116,1508
1956,157,1914
1957,166,3356
1958,161,4361
1959,157,5063
1960,164,4901
1961,204,4721
1962,175,4169
1963,181,3698
1964,157,3293
1965,157,2501
1966,180,1850
1967,186,1491
1968,190,1360
1969,199,1215
1970,204,1129
1971,201,866
1972,193,581
1973,162,453
1974,169,422
1975,163,304
1976,200,317
1977,187,286
1978,187,244
1979,191,262
1980,216,237
1981,171,244
1982,178,195
1983,186,199
1984,158,186
1985,183,179
1986,165,188
1987,169,176
1988,164,188
1989,348,187
1990,265,215
1991,274,192
1992,211,151
1993,214,145
1994,188,116
1995,158,134
1996,140,125
1997,137,125
1998,151,132
1999,109,116
2000,118,20650
2001,112,20094
2002,8536,139
2003,7564,131
2004,111,107
2005,5832,125
2006,5265,108
2007,4648,18869
2008,3791,18380
2009,2986,17899
2010,2616,17030
2011,2276,17314
2012,1921,16844
2013,1688,16570
2014,1514,16687
