William,female_count,male_count
1927,320,51472
1928,349,49102
1929,337,47798
1930,289,47257
1931,238,43262
1932,235,42108
1933,195,39031
1934,175,40157
1935,163,40201
1936,154,39380
1937,164,40701
1938,138,42421
1939,153,42074
1940,151,44768
1941,139,47786
1942,170,54874
1943,168,55890
1944,136,52350
1945,142,50209
1946,157,60031
1947,155,66969
1948,157,61977
1949,128,61493
1950,126,60701
1951,108,62718
1952,146,63008
1953,133,61775
1954,130,61401
1955,116,59920
1956,157,58956
1957,166,56822
1958,161,54202
1959,157,51377
1960,164,49349
1961,204,48012
1962,175,44862
1963,181,44481
1964,157,44249
1965,157,40149
1966,180,38272
1967,186,37623
1968,190,36968
1969,199,37644
1970,204,38913
1971,201,35442
1972,193,30529
1973,162,28024
1974,169,26997
1975,163,25581
1976,200,24446
1977,187,24775
1978,187,24186
1979,191,24694
1980,216,25659
1981,171,24796
1982,178,25594
1983,186,25379
1984,158,24898
1985,183,24603
1986,165,24320
1987,169,24197
1988,164,24112
1989,348,24673
1990,265,24884
1991,274,23863
1992,211,23060
1993,214,22208
1994,188,21486
1995,158,20153
1996,140,20538
1997,137,20006
1998,151,20825
1999,109,20708
2000,118,20650
2001,112,20094
2002,8536,20117
2003,7564,19987
2004,111,20221
2005,5832,19041
2006,5265,18941
2007,4648,18869
2008,3791,18380
2009,2986,17899
2010,2616,17030
2011,2276,17314
2012,1921,16844
2013,1688,16570
2014,1514,16687
